study_id,first_author,publication_year,doi,effect_size_statistics,number_studies,number_effect_sizes,number_species,taxonomic_scope,taxonomic_focus,taxonomic_proportions_total,humans_included,study_design,traditional_ma
id_001,aguiar_del_matto,2018,10.11606/D.41.2018.tde-20092018-145433,"Mean Standardised Difference (e.g., Cohen's d, Hedge's g)",50,183,29,Specific group,actinopterygii,actinopterygii 100%; NA,No,Mixed,Yes
id_002,akcai,2007,NA,"Correlations (e.g., Fisher's z, Pearson's r)",45,NA,NA,Specific group,aves,aves 100%; NA,No,Unclear,Yes
id_003,albrecht,2006,10.1086/502633,proportion of extra-pair fertilizations (raw measurements),NA,14,14,Specific group,aves,aves 100%; NA,No,Unclear,No
id_004,alissa,2018,10.11606/D.41.2018.tde-23102018-090541,"Correlations (e.g., Fisher's z, Pearson's r), lnCVR",45,226,31,All taxa,NA,actinopterygii 58.1%; aves 16.1%,No,Mixed,Yes
id_005,anthes,2017,10.1111/2041-210X.12707,"Mean Standardised Difference (e.g., Cohen's d, Hedge's g), lnCVR",33,148,29,All taxa,NA,insecta 24.1%; amphibia 20.7%,Yes,Unclear,Yes
id_006,arct,2015,10.1093/beheco/arv004,"Correlations (e.g., Fisher's z, Pearson's r)",39,43,33,Specific group,aves,aves 100%; NA,No,Unclear,No
id_007,arnqvist,1996,10.1007/BF01237684,"Correlations (e.g., Fisher's z, Pearson's r)",NA,45,7,Specific group,insecta,insecta 100%; NA,No,Observational,Yes
id_008,arnqvist,2000,10.1006/anbe.2000.1446,response ratio,NA,NA,NA,Specific group,insecta,insecta 100%; NA,No,Experimental,Yes
id_009,arnqvist,2005,10.1086/429350,dEW; Bf,23,30,12,Specific group,aves,aves 100%; NA,No,Unclear,No
id_010,bailey,2003,10.1017/S0952836903003728,Unclear,NA,51,50,Specific group,insecta,insecta 100%; NA,No,Unclear,No
id_011,bernasconi,2005,10.1007/s10682-004-7594-2,"Correlations (e.g., Fisher's z, Pearson's r), coefficient of variation",3,150,150,Specific group,insecta,insecta 100%; NA,No,Unclear,No
