author_complete_name,author_given_name,author_surname,title,journal,doi,author_order,total_number_authors,automated_gender,automated_certainty,manual_gender
Dougherty L.R.,Liam,Dougherty,Male alternative reproductive tactics and sperm competition: a meta-analysis,Biological Reviews,10.1111/brv.12846,1,4,male,1,male
Skirrow M.J.A.,Michael,Skirrow,Male alternative reproductive tactics and sperm competition: a meta-analysis,Biological Reviews,10.1111/brv.12846,2,4,male,1,male
Jennions M.D.,Michael,Jennions,Male alternative reproductive tactics and sperm competition: a meta-analysis,Biological Reviews,10.1111/brv.12846,3,4,male,1,male
Simmons L.W.,Leigh,Simmons,Male alternative reproductive tactics and sperm competition: a meta-analysis,Biological Reviews,10.1111/brv.12846,4,4,female,0.71,male
Culina A.,Antica,Culina,No evidence of immediate fitness benefits of within-season divorce in monogamous birds,Biology Letters,10.1098/rsbl.2021.0671,1,2,male,0.59,female
Brouwer L.,Lyanne,Brouwer,No evidence of immediate fitness benefits of within-season divorce in monogamous birds,Biology Letters,10.1098/rsbl.2021.0671,2,2,female,1,female
Janicke T.,Tim,Janicke,Sexual selection and sexual size dimorphism in animals,Biology Letters,10.1098/rsbl.2021.0251,1,2,male,1,male
Fromonteil S.,Salomé,Fromonteil,Sexual selection and sexual size dimorphism in animals,Biology Letters,10.1098/rsbl.2021.0251,2,2,female,1,female
Goldberg R.L.,Rebecca,Goldberg,The costs and benefits of paternal care in fish: A meta-analysis: Female choice for male care in fish,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2020.1759,1,4,female,1,female
Downing P.A.,Philip,Downing,The costs and benefits of paternal care in fish: A meta-analysis: Female choice for male care in fish,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2020.1759,2,4,male,1,male
Griffin A.S.,Ashleigh,Griffin,The costs and benefits of paternal care in fish: A meta-analysis: Female choice for male care in fish,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2020.1759,3,4,female,1,female
Green J.P.,Jonathan,Green,The costs and benefits of paternal care in fish: A meta-analysis: Female choice for male care in fish,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2020.1759,4,4,male,1,male
Cally J.,Justin,Cally,Meta-analytic evidence that sexual selection improves population fitness,Nature Communications,10.1038/s41467-019-10074-7,1,3,male,1,male
Stuart-Fox D.,Devi,Stuart-Fox,Meta-analytic evidence that sexual selection improves population fitness,Nature Communications,10.1038/s41467-019-10074-7,2,3,female,0.98,female
Holman L.,Luke,Holman,Meta-analytic evidence that sexual selection improves population fitness,Nature Communications,10.1038/s41467-019-10074-7,3,3,male,1,male
Robinson C.M.,Cristina,Robinson,Species-level repertoire size predicts a correlation between individual song elaboration and reproductive success,Ecology and Evolution,10.1002/ece3.5418,1,2,female,1,female
Creanza N.,Nicole,Creanza,Species-level repertoire size predicts a correlation between individual song elaboration and reproductive success,Ecology and Evolution,10.1002/ece3.5418,2,2,female,1,female
Dougherty L.R.,Liam,Dougherty,The effect of experimental design on the measurement of mate choice: A meta-analysis,Behavioral Ecology,10.1093/beheco/aru125,1,2,male,1,male
Shuker D.M.,David,Shuker,The effect of experimental design on the measurement of mate choice: A meta-analysis,Behavioral Ecology,10.1093/beheco/aru125,2,2,male,1,male
Prokuda A.Y.,Alexandra,Prokuda,"The quantitative genetics of sexually selected traits, preferred traits and preference: A review and analysis of the data",Journal of Evolutionary Biology,10.1111/jeb.12483,1,2,female,0.99,female
Roff D.A.,Derek,Roff,"The quantitative genetics of sexually selected traits, preferred traits and preference: A review and analysis of the data",Journal of Evolutionary Biology,10.1111/jeb.12483,2,2,male,1,male
