authors,year,title,journal,doi,language,evaluation
"Aguiar del Matto, L.",2018,Sperm competition games between majors and minors: a meta-regression of fishes with alternative mating tactics,University of Sao Paulo,10.11606/D.41.2018.tde-20092018-145433,English,Included
AKCAY E and ROUGHGARDEN J,2007,extra-pair paternity in birds: review of the genetic benefits,EVOLUTIONARY ECOLOGY RESEARCH,NA,English,Included
ALBRECHT T and KREISINGER J and PIALEK J,2006,the strength of direct selection against female promiscuity is associated with rates of extrapair fertilizations in socially monogamous songbirds,AMERICAN NATURALIST,10.1086/502633,English,Included
"Alissa, Louise M.",2018,effect of reproductive site limitation on the intensity of sexual selection and the quality of paternal care: a meta-analysis,University of Sao Paulo,10.11606/D.41.2018.tde-23102018-090541,English,Included
AMOS W,2009,sexual selection does not influence minisatellite mutation rate,BMC EVOLUTIONARY BIOLOGY,10.1186/1471-2148-9-5,English,Excluded: not relevant
ANTHES N and HAEDERER IK and MICHIELS NK and JANICKE T,2017,measuring and interpreting sexual selection metrics: evaluation and guidelines,METHODS IN ECOLOGY AND EVOLUTION,10.1111/2041-210X.12707,English,Included
ARCT A and DROBNIAK SM and CICHON M,2015,genetic similarity between mates predicts extrapair paternity-a meta-analysis of bird studies,BEHAVIORAL ECOLOGY,10.1093/beheco/arv004,English,Included
ARNQVIST G and KIRKPATRICK M,2005,the evolution of infidelity in socially monogamous passerines: the strength of direct and indirect selection on extrapair copulation behavior in females,AMERICAN NATURALIST,10.1086/429350,English,Included
ARNQVIST G and NILSSON T,2000,the evolution of polyandry: multiple mating and female fitness in insects,ANIMAL BEHAVIOUR,10.1006/anbe.2000.1446,English,Included
ARNQVIST G and ROWE L and KRUPA JJ and SIH A,1996,assortative mating by size: a meta-analysis of mating patterns in water striders,EVOLUTIONARY ECOLOGY,10.1007/BF01237684,English,Included
BAILEY WJ and HAMMOND TJ,2003,duetting in insects - does call length influence reply latency?,JOURNAL OF ZOOLOGY,10.1017/S0952836903003728,English,Included
BERNASCONI G and HELLRIEGEL B,2005,fertilization competence and sperm size variation in sperm-heteromorphic insects,EVOLUTIONARY ECOLOGY,10.1007/s10682-004-7594-2,English,Included
BONCORAGLIO G and SAINO N,2007,habitat structure and the evolution of bird song: a meta-analysis of the evidence for the acoustic adaptation hypothesis,FUNCTIONAL ECOLOGY,10.1111/j.1365-2435.2006.01207.x,English,Included
CALLY JG and STUART-FOX D and HOLMAN L,2019,meta-analytic evidence that sexual selection improves population fitness,NATURE COMMUNICATIONS,10.1038/s41467-019-10074-7,English,Included
CARDOSO GC and HU Y and FRANCIS CD,2018,the comparative evidence for urban species sorting by anthropogenic noise,ROYAL SOCIETY OPEN SCIENCE,10.1098/rsos.172059,English,Excluded: not meta-analysis
CLEASBY IR and NAKAGAWA S,2012,the influence of male age on within-pair and extra-pair paternity in passerines,IBIS,10.1111/j.1474-919X.2011.01209.x,English,Included
Costanzo,2017,melanin-based colouration as a signal of individual quality and its potential role in sexual selection in the barn swallow (hirundo rustica),Universita degli Studi di Milano,NA,English,Excluded: duplicate
CREAN AJ and SENIOR AM,2019,high-fat diets reduce male reproductive success in animal models: a systematic review and meta-analysis,OBESITY REVIEWS,10.1111/obr.12827,English,Included
CULINA A and BROUWER L,2022,no evidence of immediate fitness benefits of within-season divorce in monogamous birds,BIOLOGY LETTERS,10.1098/rsbl.2021.0671,English,Included
CULINA A and RADERSMA R and SHELDON BC,2015,trading up: the fitness consequences of divorce in monogamous birds,BIOLOGICAL REVIEWS,10.1111/brv.12143,English,Included
DAVIES AD and LEWIS Z and DOUGHERTY LR,2020,a meta-analysis of factors influencing the strength of mate-choice copying in animals,BEHAVIORAL ECOLOGY,10.1093/beheco/araa064,English,Included
DE BOER RA and VEGA-TREJO R and KOTRSCHAL A and FITZPATRICK JL,2021,meta-analytic evidence that animals rarely avoid inbreeding,NATURE ECOLOGY AND EVOLUTION,10.1038/s41559-021-01453-9,English,Included
DE JONG K and FORSGREN E and SANDVIK H and AMUNDSEN T,2012,measuring mating competition correctly: available evidence supports operational sex ratio theory,BEHAVIORAL ECOLOGY,10.1093/beheco/ars094,English,Included
de Jong; Karen,2011,operational sex ratio and reproductive behaviour in the two-spotted goby (gobiusculus flavescens),Norges teknisk-naturvitenskapelige universitet,NA,English,Excluded: duplicate
DELBARCO-TRILLO J,2011,adjustment of sperm allocation under high risk of sperm competition across taxa: a meta-analysis,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2011.02293.x,English,Included
DHARMARATHNE WDSC and HERBERSTEIN ME,2022,limitations of sperm transfer in the complex reproductive system of spiders,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/biolinnean/blab158,English,Included
DOUGHERTY LR,2021,meta-analysis shows the evidence for context-dependent mating behaviour is inconsistent or weak across animals,ECOLOGY LETTERS,10.1111/ele.13679,English,Included
DOUGHERTY LR,2021,meta-analysis reveals that animal sexual signalling behaviour is honest and resource based,NATURE ECOLOGY AND EVOLUTION,10.1038/s41559-021-01409-z,English,Included
DOUGHERTY LR and SHUKER DM,2015,the effect of experimental design on the measurement of mate choice: a meta-analysis,BEHAVIORAL ECOLOGY,10.1093/beheco/aru125,English,Included
