study_id,first_author,publication_year,doi,search_strings,search_repeatable,studies_screened,studies_excluded_with_motive,prisma,non_independence_phylogeny,non_independence_same_study,main_data,additional_data,metadata,scripts,search_sources,software,heterogeneity,publication_bias_investigated
id_001,aguiar_del_matto,2018,10.11606/D.41.2018.tde-20092018-145433,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Insufficient,Substandard,Insufficient,"Databases: Web of Science, Databases: Scopus",package metafor (in R),i_2,Regression-based methods
id_002,akcai,2007,NA,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Insufficient,Substandard,Insufficient,"Databases: Web of Science, Other databases that cover only published studies, Backward citations of key papers",NA,Q,Trim-and-fill tests
id_004,alissa,2018,10.11606/D.41.2018.tde-23102018-090541,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Insufficient,Insufficient,Adequate,"Databases: Web of Science, Google Scholar, Forward citations of key papers, Backward citations of initially selected papers, Forward citations of initially selected papers",package metafor (in R),"i_2, Q","Funnel plots, Regression-based methods"
id_005,anthes,2017,10.1111/2041-210X.12707,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Insufficient,Insufficient,Previous study data,NA,Q,None
id_007,arnqvist,1996,10.1007/BF01237684,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Insufficient,Substandard,Insufficient,Unclear,SYSTAT statistical package,Q test,Correlation-based methods
id_008,arnqvist,2000,10.1006/anbe.2000.1446,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Substandard,Insufficient,"Other databases that cover only published studies, Backward citations of key papers, requests",NA,Q,"Funnel plots, Correlation-based methods"
id_012,boncoraglio,2007,10.1111/j.1365-2435.2006.01207.x,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Insufficient,Substandard,Insufficient,Substandard,Insufficient,"Databases: Web of Science, Backward citations of key papers, list of specific journals",MetaWin,Q,Correlation-based methods
id_013,cally,2019,10.1038/s41467-019-10074-7,Adequate,Adequate,Adequate,Adequate,Adequate,Insufficient,Adequate,Adequate,Adequate,Adequate,Adequate,"Databases: Web of Science, Databases: Scopus, manual inclusion of papers",package metafor (in R); package brms (in R),i_2,"Funnel plots, Regression-based methods, Time-lag bias tests, Impact factor regression"
id_014,cleasby,2012,10.1111/j.1474-919X.2011.01209.x,Insufficient,Insufficient,Adequate,Adequate,Adequate,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Insufficient,"Databases: Web of Science, Databases: Scopus, Google Scholar",package R2WinBUGS (Sturtz et al. 2005); package arm (in R) (Gelman & Hill 2007),None,Funnel plots
id_015,crean,2019,10.1111/obr.12827,Adequate,Adequate,Adequate,Adequate,Adequate,Insufficient,Insufficient,Adequate,Adequate,Insufficient,Adequate,"Databases: Web of Science, Databases: Scopus, Other databases that cover only published studies",package metafor (in R),i_2,"Funnel plots, Regression-based methods, Trim-and-fill tests"
